,sex,age,age_cat,decile_score,score_text,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,is_recid,score
4153,Male,49,Greater than 45,5,Medium,African-American,11,0,0,0,1,1
4154,Male,36,25 - 45,1,Low,Other,0,0,0,0,0,0
4156,Male,20,Less than 25,3,Low,African-American,0,0,0,0,0,0
4157,Male,21,Less than 25,10,High,African-American,2,0,0,0,1,1
4158,Female,31,25 - 45,2,Low,African-American,0,0,0,0,0,0
4159,Male,57,Greater than 45,1,Low,African-American,0,0,0,0,0,0
4160,Female,61,Greater than 45,3,Low,Caucasian,8,0,0,0,1,0
4161,Male,35,25 - 45,1,Low,Hispanic,3,0,0,0,1,0
4162,Male,54,Greater than 45,6,Medium,African-American,3,0,0,0,1,1
4163,Male,39,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
4164,Male,24,Less than 25,7,Medium,African-American,1,0,1,0,0,1
4165,Female,29,25 - 45,4,Low,Hispanic,0,0,0,0,1,0
4166,Male,48,Greater than 45,9,High,African-American,8,0,0,1,1,1
4167,Male,30,25 - 45,7,Medium,African-American,6,0,0,1,1,1
4168,Male,26,25 - 45,10,High,African-American,10,0,1,0,1,1
4170,Male,37,25 - 45,9,High,African-American,12,0,0,0,1,1
4171,Male,26,25 - 45,6,Medium,African-American,4,0,0,0,1,1
4172,Male,29,25 - 45,10,High,African-American,7,0,0,0,1,1
4173,Male,26,25 - 45,6,Medium,African-American,1,0,0,0,1,1
4174,Male,60,Greater than 45,1,Low,African-American,2,0,0,0,0,0
4175,Male,27,25 - 45,7,Medium,Caucasian,2,0,0,0,1,1
4177,Male,22,Less than 25,6,Medium,Caucasian,1,0,0,1,0,1
4178,Male,28,25 - 45,7,Medium,African-American,3,0,0,0,0,1
4179,Male,33,25 - 45,6,Medium,African-American,13,0,0,0,1,1
4180,Male,28,25 - 45,2,Low,African-American,2,0,0,0,0,0
4181,Male,55,Greater than 45,1,Low,Caucasian,0,0,0,0,1,0
4182,Male,21,Less than 25,8,High,African-American,6,0,1,0,1,1
4183,Male,28,25 - 45,3,Low,Hispanic,2,0,0,0,1,0
4184,Female,22,Less than 25,2,Low,Hispanic,0,0,0,0,0,0
4185,Female,29,25 - 45,7,Medium,Caucasian,6,0,0,0,1,1
4187,Male,24,Less than 25,8,High,African-American,2,0,0,0,1,1
4188,Male,50,Greater than 45,1,Low,African-American,12,0,0,0,1,0
4189,Male,24,Less than 25,6,Medium,African-American,1,0,0,0,1,1
4190,Male,47,Greater than 45,2,Low,African-American,1,0,0,0,0,0
4192,Male,54,Greater than 45,1,Low,Caucasian,6,0,0,0,0,0
4193,Female,42,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
4194,Male,35,25 - 45,3,Low,Caucasian,5,0,0,0,0,0
4195,Male,30,25 - 45,4,Low,African-American,0,0,0,0,1,0
4196,Male,53,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
4197,Female,31,25 - 45,3,Low,African-American,2,0,0,0,0,0
4200,Male,31,25 - 45,2,Low,African-American,0,0,0,0,1,0
4201,Male,23,Less than 25,10,High,Other,4,0,0,0,0,1
4202,Male,47,Greater than 45,4,Low,African-American,9,0,0,0,0,0
4205,Male,24,Less than 25,9,High,African-American,9,0,1,0,1,1
4206,Female,22,Less than 25,9,High,African-American,2,0,1,0,0,1
4207,Male,45,Greater than 45,1,Low,Hispanic,1,0,0,0,0,0
4208,Female,30,25 - 45,2,Low,African-American,2,0,0,0,0,0
4209,Male,30,25 - 45,8,High,Other,5,0,0,0,1,1
4211,Female,43,25 - 45,10,High,Caucasian,22,0,0,0,1,1
4212,Male,50,Greater than 45,1,Low,African-American,0,0,0,0,0,0
4213,Female,24,Less than 25,4,Low,Other,2,0,0,0,1,0
4214,Female,42,25 - 45,5,Medium,Caucasian,3,0,0,0,0,1
4215,Female,29,25 - 45,7,Medium,Caucasian,1,0,0,0,1,1
4217,Male,31,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
4218,Male,25,25 - 45,9,High,African-American,5,0,0,0,1,1
4219,Male,36,25 - 45,5,Medium,African-American,4,0,0,0,0,1
4220,Male,24,Less than 25,5,Medium,African-American,1,0,0,0,1,1
4221,Male,28,25 - 45,5,Medium,Caucasian,5,0,0,0,0,1
4222,Male,31,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
4223,Male,23,Less than 25,4,Low,African-American,0,0,0,0,0,0
4224,Male,29,25 - 45,6,Medium,Caucasian,4,0,0,0,1,1
4225,Male,51,Greater than 45,5,Medium,African-American,11,0,0,0,1,1
4226,Male,34,25 - 45,5,Medium,African-American,1,0,0,0,0,1
4227,Male,29,25 - 45,2,Low,African-American,12,0,0,0,1,0
4228,Male,39,25 - 45,10,High,African-American,13,0,1,0,1,1
4229,Female,36,25 - 45,2,Low,Hispanic,0,0,0,0,0,0
4230,Male,59,Greater than 45,6,Medium,African-American,15,0,0,0,1,1
4231,Male,23,Less than 25,8,High,African-American,3,0,0,2,1,1
4232,Male,31,25 - 45,8,High,African-American,15,0,0,0,0,1
4233,Male,53,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
4234,Male,34,25 - 45,7,Medium,African-American,12,0,0,0,0,1
4235,Female,63,Greater than 45,1,Low,African-American,1,0,0,0,0,0
4236,Male,21,Less than 25,4,Low,Other,0,0,0,0,1,0
4237,Female,21,Less than 25,7,Medium,African-American,0,0,0,0,1,1
4238,Male,47,Greater than 45,9,High,Caucasian,28,0,0,0,1,1
4239,Male,34,25 - 45,5,Medium,African-American,7,0,0,0,1,1
4241,Male,58,Greater than 45,5,Medium,Caucasian,4,0,0,0,1,1
4242,Female,40,25 - 45,3,Low,Hispanic,4,0,0,0,1,0
4243,Male,36,25 - 45,8,High,African-American,16,3,0,0,1,1
4244,Female,23,Less than 25,4,Low,African-American,0,0,0,0,0,0
4245,Male,34,25 - 45,2,Low,African-American,5,0,0,0,1,0
4246,Male,56,Greater than 45,2,Low,Caucasian,13,0,0,0,0,0
4247,Female,52,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
4248,Male,56,Greater than 45,2,Low,African-American,0,0,0,0,0,0
4249,Female,37,25 - 45,1,Low,African-American,0,0,0,0,0,0
4250,Female,50,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
4251,Male,25,25 - 45,2,Low,African-American,1,0,0,0,1,0
4252,Male,22,Less than 25,5,Medium,African-American,0,0,0,0,1,1
4253,Female,43,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
4254,Male,30,25 - 45,2,Low,Caucasian,1,0,0,0,0,0
4255,Male,29,25 - 45,1,Low,Asian,0,0,0,0,0,0
4256,Male,24,Less than 25,2,Low,Caucasian,0,0,0,0,0,0
4257,Male,29,25 - 45,8,High,African-American,7,0,0,0,1,1
4259,Female,24,Less than 25,4,Low,Caucasian,0,0,0,0,0,0
4260,Female,74,Greater than 45,1,Low,African-American,0,0,0,0,0,0
4261,Male,27,25 - 45,7,Medium,African-American,8,0,0,1,1,1
4262,Male,37,25 - 45,2,Low,Hispanic,1,0,0,0,1,0
4264,Male,29,25 - 45,2,Low,Caucasian,5,0,0,0,0,0
4266,Female,35,25 - 45,3,Low,African-American,5,0,0,0,0,0
4267,Male,29,25 - 45,6,Medium,African-American,1,0,0,0,1,1
4268,Male,36,25 - 45,2,Low,Caucasian,1,0,0,0,0,0
4270,Male,26,25 - 45,4,Low,Caucasian,2,0,0,0,0,0
4272,Female,26,25 - 45,5,Medium,African-American,1,0,0,0,0,1
4273,Female,39,25 - 45,6,Medium,Caucasian,11,0,1,0,1,1
4274,Male,22,Less than 25,4,Low,African-American,3,0,1,0,1,0
4275,Male,28,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
4276,Male,51,Greater than 45,1,Low,Caucasian,1,0,0,0,1,0
4277,Female,35,25 - 45,2,Low,Hispanic,0,0,0,0,0,0
4278,Female,23,Less than 25,2,Low,African-American,0,0,0,0,0,0
4279,Male,29,25 - 45,6,Medium,African-American,6,1,2,0,1,1
4280,Male,20,Less than 25,3,Low,Other,0,0,0,0,1,0
4281,Male,24,Less than 25,9,High,African-American,1,0,0,2,1,1
4282,Female,23,Less than 25,4,Low,Hispanic,2,0,1,0,0,0
4283,Female,33,25 - 45,7,Medium,African-American,5,0,0,0,0,1
4284,Male,21,Less than 25,3,Low,Caucasian,1,1,0,0,1,0
4285,Male,59,Greater than 45,1,Low,Caucasian,3,0,0,0,0,0
4286,Male,26,25 - 45,4,Low,Caucasian,4,0,0,0,1,0
4288,Male,38,25 - 45,1,Low,Other,2,0,0,0,0,0
4290,Male,28,25 - 45,8,High,Hispanic,2,0,0,0,0,1
4291,Male,23,Less than 25,5,Medium,Hispanic,2,0,0,0,1,1
4292,Male,21,Less than 25,5,Medium,African-American,1,0,0,2,1,1
4293,Male,52,Greater than 45,1,Low,African-American,0,0,0,0,1,0
4294,Male,56,Greater than 45,5,Medium,African-American,12,0,0,0,1,1
4295,Male,40,25 - 45,4,Low,Caucasian,1,0,0,0,0,0
4296,Female,48,Greater than 45,4,Low,Caucasian,8,0,0,0,1,0
4298,Female,26,25 - 45,4,Low,African-American,0,0,0,0,0,0
4300,Male,66,Greater than 45,1,Low,Caucasian,1,0,0,0,1,0
4301,Female,54,Greater than 45,4,Low,African-American,6,0,0,0,0,0
4302,Male,31,25 - 45,7,Medium,Caucasian,4,0,0,0,1,1
4303,Male,34,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
4304,Male,25,25 - 45,9,High,African-American,9,0,0,0,1,1
4305,Male,47,Greater than 45,4,Low,Caucasian,2,0,0,0,0,0
4306,Male,51,Greater than 45,8,High,African-American,12,0,0,1,1,1
4307,Male,25,25 - 45,3,Low,Caucasian,1,0,0,0,0,0
4308,Male,25,25 - 45,2,Low,Other,0,0,0,0,1,0
4309,Female,31,25 - 45,2,Low,African-American,2,0,0,0,1,0
4311,Male,36,25 - 45,2,Low,Caucasian,1,0,0,0,0,0
4313,Male,49,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
4314,Male,31,25 - 45,7,Medium,African-American,0,0,0,0,0,1
4315,Male,30,25 - 45,3,Low,Caucasian,1,0,0,1,0,0
4316,Male,29,25 - 45,9,High,African-American,3,1,0,0,1,1
4317,Female,53,Greater than 45,5,Medium,Caucasian,6,0,0,0,1,1
4318,Male,21,Less than 25,9,High,African-American,1,0,1,0,1,1
4319,Male,21,Less than 25,4,Low,African-American,0,0,0,0,0,0
4320,Female,27,25 - 45,5,Medium,African-American,1,0,0,0,1,1
4321,Female,65,Greater than 45,1,Low,African-American,0,0,0,0,0,0
4322,Female,59,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
4323,Male,59,Greater than 45,1,Low,African-American,0,0,0,0,0,0
4324,Male,24,Less than 25,7,Medium,African-American,0,0,0,0,0,1
4325,Male,40,25 - 45,1,Low,African-American,0,0,0,0,0,0
4326,Male,51,Greater than 45,1,Low,African-American,0,0,0,0,1,0
4327,Male,34,25 - 45,9,High,African-American,10,1,0,0,1,1
4328,Male,30,25 - 45,2,Low,Hispanic,1,0,0,0,1,0
4329,Male,52,Greater than 45,1,Low,African-American,1,0,0,0,0,0
4332,Male,38,25 - 45,3,Low,African-American,2,0,0,0,1,0
4333,Female,22,Less than 25,8,High,African-American,0,0,0,0,0,1
4334,Male,43,25 - 45,5,Medium,African-American,0,0,0,0,0,1
4335,Male,32,25 - 45,9,High,Caucasian,5,0,0,0,1,1
4336,Male,55,Greater than 45,1,Low,African-American,0,0,0,0,0,0
4337,Male,26,25 - 45,2,Low,African-American,2,0,0,0,0,0
4338,Male,23,Less than 25,2,Low,Caucasian,1,0,0,1,0,0
4339,Female,47,Greater than 45,1,Low,Other,0,0,0,0,0,0
4340,Male,28,25 - 45,2,Low,Caucasian,1,0,0,0,1,0
4341,Male,27,25 - 45,2,Low,Hispanic,0,0,0,0,1,0
4342,Male,61,Greater than 45,4,Low,Hispanic,2,0,0,0,1,0
4343,Male,26,25 - 45,2,Low,African-American,0,0,0,0,0,0
4345,Female,28,25 - 45,5,Medium,Caucasian,1,0,0,0,1,1
4346,Male,43,25 - 45,5,Medium,African-American,0,0,0,0,1,1
4348,Male,33,25 - 45,7,Medium,African-American,21,0,0,0,1,1
4349,Male,21,Less than 25,3,Low,Caucasian,0,0,0,1,0,0
4350,Female,32,25 - 45,1,Low,Caucasian,0,0,0,1,0,0
4351,Male,22,Less than 25,4,Low,African-American,1,0,0,0,1,0
4352,Male,51,Greater than 45,1,Low,African-American,3,0,0,0,0,0
4353,Male,20,Less than 25,10,High,African-American,2,0,0,1,1,1
4354,Male,35,25 - 45,3,Low,Caucasian,2,0,0,0,0,0
4355,Female,37,25 - 45,1,Low,African-American,3,0,0,0,0,0
4356,Male,28,25 - 45,7,Medium,African-American,0,0,0,0,1,1
4357,Male,41,25 - 45,5,Medium,Caucasian,3,0,0,0,1,1
4358,Male,24,Less than 25,8,High,African-American,0,0,0,0,1,1
4359,Female,33,25 - 45,4,Low,African-American,3,0,0,0,0,0
4361,Female,30,25 - 45,6,Medium,Caucasian,4,0,0,0,0,1
4362,Male,20,Less than 25,7,Medium,African-American,1,0,0,0,1,1
4363,Female,42,25 - 45,1,Low,African-American,1,0,0,0,0,0
4364,Female,40,25 - 45,7,Medium,African-American,15,0,0,0,1,1
4365,Male,39,25 - 45,4,Low,African-American,0,0,0,0,1,0
4366,Male,21,Less than 25,7,Medium,African-American,0,0,0,0,0,1
4367,Male,39,25 - 45,2,Low,Caucasian,2,0,0,0,1,0
4368,Male,24,Less than 25,2,Low,Caucasian,0,0,0,0,0,0
4369,Male,41,25 - 45,1,Low,African-American,0,0,0,0,0,0
4370,Male,39,25 - 45,4,Low,African-American,1,0,0,0,0,0
4371,Female,24,Less than 25,8,High,African-American,3,0,0,0,0,1
4372,Female,24,Less than 25,4,Low,African-American,1,0,0,0,0,0
4373,Male,29,25 - 45,2,Low,African-American,0,0,0,0,1,0
4375,Male,25,25 - 45,5,Medium,Caucasian,2,0,0,0,1,1
4376,Female,23,Less than 25,6,Medium,Caucasian,0,0,0,0,1,1
4377,Male,22,Less than 25,10,High,African-American,1,0,0,1,1,1
4378,Female,26,25 - 45,7,Medium,Other,4,0,0,0,1,1
4379,Male,26,25 - 45,9,High,African-American,3,0,3,0,1,1
4380,Female,24,Less than 25,6,Medium,African-American,3,0,0,0,1,1
4381,Male,44,25 - 45,5,Medium,African-American,0,0,0,0,0,1
4382,Male,36,25 - 45,2,Low,Caucasian,1,0,0,0,1,0
4383,Male,39,25 - 45,8,High,Caucasian,10,0,0,0,1,1
4384,Male,42,25 - 45,4,Low,Caucasian,0,0,0,0,0,0
4385,Male,45,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
4386,Male,25,25 - 45,10,High,African-American,7,0,1,0,1,1
4388,Male,33,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
4389,Male,25,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
4390,Male,32,25 - 45,4,Low,African-American,5,0,1,0,0,0
4391,Male,23,Less than 25,7,Medium,African-American,0,0,0,0,0,1
4392,Male,39,25 - 45,5,Medium,Caucasian,0,0,0,0,0,1
4393,Male,27,25 - 45,8,High,African-American,12,0,0,0,1,1
4394,Female,35,25 - 45,7,Medium,Caucasian,4,0,0,0,0,1
4396,Female,38,25 - 45,1,Low,African-American,0,0,0,0,0,0
4397,Male,30,25 - 45,2,Low,African-American,4,0,0,0,0,0
4398,Male,30,25 - 45,5,Medium,Caucasian,1,0,0,0,0,1
4399,Female,30,25 - 45,8,High,Caucasian,0,0,0,0,0,1
4400,Male,26,25 - 45,10,High,African-American,18,1,1,0,1,1
4401,Male,31,25 - 45,2,Low,African-American,2,0,0,0,0,0
4403,Male,34,25 - 45,2,Low,Other,0,0,0,0,0,0
4404,Female,25,25 - 45,5,Medium,African-American,0,0,0,0,0,1
4405,Female,26,25 - 45,6,Medium,Caucasian,1,0,0,0,0,1
4406,Male,38,25 - 45,7,Medium,African-American,2,0,0,0,1,1
4407,Female,37,25 - 45,1,Low,African-American,0,0,0,0,0,0
4408,Male,34,25 - 45,5,Medium,Caucasian,3,0,0,1,0,1
4410,Female,38,25 - 45,2,Low,Hispanic,0,0,0,0,0,0
4411,Female,31,25 - 45,6,Medium,African-American,0,0,0,0,0,1
4412,Female,29,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
4413,Male,20,Less than 25,9,High,Caucasian,1,1,0,0,1,1
4414,Male,22,Less than 25,4,Low,African-American,0,0,0,0,0,0
4415,Female,51,Greater than 45,1,Low,Hispanic,0,0,0,0,0,0
4416,Male,24,Less than 25,4,Low,African-American,2,0,0,0,1,0
4417,Male,47,Greater than 45,8,High,African-American,0,0,0,0,1,1
4418,Female,36,25 - 45,5,Medium,African-American,1,0,0,0,1,1
4419,Male,21,Less than 25,4,Low,African-American,1,0,0,0,0,0
4420,Male,25,25 - 45,10,High,African-American,3,0,1,0,1,1
4421,Male,23,Less than 25,9,High,African-American,5,0,0,1,1,1
4422,Male,23,Less than 25,3,Low,Other,0,0,0,0,0,0
4423,Female,24,Less than 25,10,High,Caucasian,0,0,0,0,0,1
4424,Male,35,25 - 45,2,Low,Caucasian,2,0,0,0,1,0
4425,Female,23,Less than 25,4,Low,Hispanic,0,0,0,0,0,0
4426,Female,19,Less than 25,4,Low,African-American,0,0,0,0,1,0
4427,Male,32,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
4428,Female,39,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
4429,Male,30,25 - 45,9,High,African-American,12,4,0,0,1,1
4430,Male,33,25 - 45,7,Medium,African-American,2,0,0,0,0,1
4432,Female,36,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
4434,Male,29,25 - 45,8,High,African-American,8,0,1,1,1,1
4435,Female,40,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
4436,Male,53,Greater than 45,7,Medium,African-American,4,0,0,0,0,1
4437,Female,28,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
4438,Male,38,25 - 45,2,Low,Hispanic,2,0,0,0,0,0
4439,Male,27,25 - 45,9,High,African-American,9,0,1,0,1,1
4440,Male,55,Greater than 45,3,Low,Caucasian,0,0,0,0,0,0
4441,Male,22,Less than 25,7,Medium,African-American,1,1,0,0,0,1
4442,Female,34,25 - 45,1,Low,African-American,1,0,0,0,0,0
4443,Male,55,Greater than 45,2,Low,Caucasian,1,0,0,0,0,0
4444,Male,24,Less than 25,8,High,Hispanic,2,0,0,0,0,1
4445,Female,47,Greater than 45,9,High,African-American,21,0,1,1,1,1
4446,Male,41,25 - 45,1,Low,Other,0,0,0,0,0,0
4447,Male,41,25 - 45,3,Low,Hispanic,0,0,0,0,0,0
4448,Male,61,Greater than 45,3,Low,African-American,12,0,0,0,0,0
4449,Male,57,Greater than 45,1,Low,African-American,3,0,0,0,0,0
4450,Female,38,25 - 45,3,Low,Caucasian,2,0,0,0,0,0
4451,Male,25,25 - 45,4,Low,Caucasian,13,4,0,1,1,0
4452,Male,23,Less than 25,2,Low,African-American,0,0,0,0,1,0
4453,Male,23,Less than 25,5,Medium,Caucasian,3,0,0,0,0,1
4454,Male,20,Less than 25,3,Low,African-American,0,0,0,0,0,0
4455,Male,44,25 - 45,8,High,Caucasian,1,0,0,0,0,1
4456,Female,38,25 - 45,1,Low,Caucasian,1,0,0,0,0,0
4457,Male,56,Greater than 45,2,Low,African-American,5,0,0,0,1,0
4458,Male,43,25 - 45,2,Low,Caucasian,2,0,0,0,1,0
4459,Male,22,Less than 25,3,Low,African-American,0,0,0,0,1,0
4461,Male,32,25 - 45,1,Low,Other,0,0,0,0,0,0
4462,Male,29,25 - 45,6,Medium,African-American,0,0,0,0,0,1
4463,Male,22,Less than 25,9,High,African-American,1,0,0,0,1,1
4464,Male,23,Less than 25,9,High,African-American,3,0,0,0,1,1
4465,Male,24,Less than 25,4,Low,Caucasian,1,0,0,1,0,0
4466,Male,45,Greater than 45,1,Low,Other,0,0,0,0,0,0
4467,Male,21,Less than 25,9,High,African-American,2,0,1,0,0,1
4468,Female,29,25 - 45,2,Low,African-American,0,0,0,0,0,0
4469,Female,51,Greater than 45,4,Low,Caucasian,0,0,0,0,1,0
4470,Male,36,25 - 45,2,Low,Hispanic,2,1,0,0,1,0
4471,Male,25,25 - 45,3,Low,African-American,1,0,0,0,0,0
4472,Male,46,Greater than 45,3,Low,Hispanic,13,0,0,0,0,0
4473,Male,62,Greater than 45,8,High,African-American,22,0,0,0,1,1
4474,Male,25,25 - 45,4,Low,African-American,0,0,0,0,1,0
4475,Male,27,25 - 45,2,Low,Caucasian,2,0,0,0,0,0
4477,Female,22,Less than 25,9,High,Caucasian,3,0,0,0,1,1
4479,Male,37,25 - 45,1,Low,Hispanic,1,0,0,0,0,0
4480,Male,21,Less than 25,3,Low,Caucasian,0,0,0,0,1,0
4482,Female,39,25 - 45,5,Medium,Caucasian,2,0,0,0,1,1
4483,Male,43,25 - 45,3,Low,African-American,8,0,0,0,1,0
4484,Male,22,Less than 25,6,Medium,African-American,0,0,0,0,1,1
4485,Female,28,25 - 45,7,Medium,African-American,4,0,0,0,0,1
4486,Male,43,25 - 45,9,High,Caucasian,0,0,0,0,1,1
4487,Male,27,25 - 45,8,High,Caucasian,7,0,0,0,1,1
4488,Male,27,25 - 45,2,Low,Other,0,0,0,0,1,0
4489,Male,31,25 - 45,2,Low,Caucasian,1,0,0,0,1,0
4490,Female,28,25 - 45,2,Low,African-American,0,0,0,0,0,0
4491,Male,58,Greater than 45,2,Low,Caucasian,3,0,0,0,0,0
4492,Male,22,Less than 25,4,Low,Caucasian,0,0,0,0,1,0
4494,Male,31,25 - 45,4,Low,African-American,5,0,0,0,0,0
4495,Male,33,25 - 45,3,Low,African-American,0,0,0,0,0,0
4496,Male,26,25 - 45,10,High,African-American,6,0,0,0,1,1
4497,Female,23,Less than 25,5,Medium,African-American,1,0,1,0,0,1
4498,Male,32,25 - 45,10,High,Caucasian,11,0,0,0,0,1
4500,Male,22,Less than 25,8,High,Caucasian,0,0,0,0,0,1
4501,Female,35,25 - 45,2,Low,African-American,2,0,0,0,0,0
4502,Male,47,Greater than 45,6,Medium,Caucasian,1,0,0,0,1,1
4503,Male,35,25 - 45,1,Low,Hispanic,2,0,0,0,0,0
4504,Male,29,25 - 45,9,High,African-American,17,0,0,1,1,1
4505,Female,54,Greater than 45,2,Low,Caucasian,1,0,0,0,0,0
4506,Male,29,25 - 45,8,High,Caucasian,0,0,0,0,0,1
4507,Female,28,25 - 45,4,Low,Other,0,0,0,0,1,0
4508,Male,51,Greater than 45,8,High,African-American,17,0,0,0,1,1
4509,Female,36,25 - 45,6,Medium,African-American,0,0,0,0,0,1
4510,Male,35,25 - 45,4,Low,Caucasian,3,0,0,0,1,0
4511,Male,20,Less than 25,4,Low,African-American,1,0,0,1,1,0
4512,Male,25,25 - 45,5,Medium,African-American,0,0,0,0,0,1
4513,Male,29,25 - 45,5,Medium,African-American,2,0,0,0,0,1
4514,Male,31,25 - 45,10,High,Hispanic,0,0,0,0,1,1
4516,Male,39,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
4517,Male,30,25 - 45,4,Low,African-American,1,0,0,0,1,0
4518,Female,23,Less than 25,7,Medium,African-American,0,0,0,0,0,1
4519,Female,23,Less than 25,4,Low,African-American,1,0,0,0,0,0
4520,Female,37,25 - 45,3,Low,Hispanic,0,0,0,0,0,0
4521,Male,30,25 - 45,7,Medium,African-American,21,0,0,0,1,1
4522,Male,33,25 - 45,9,High,African-American,18,0,0,3,1,1
4523,Male,20,Less than 25,4,Low,Hispanic,0,0,0,0,1,0
4525,Male,30,25 - 45,7,Medium,African-American,9,0,1,0,1,1
4526,Male,23,Less than 25,6,Medium,African-American,1,0,0,0,0,1
4527,Female,27,25 - 45,3,Low,African-American,0,0,0,0,1,0
4528,Male,38,25 - 45,6,Medium,African-American,10,0,1,0,0,1
4529,Male,42,25 - 45,1,Low,African-American,1,0,0,0,0,0
4530,Male,31,25 - 45,3,Low,African-American,0,0,0,0,0,0
4531,Male,23,Less than 25,9,High,African-American,2,0,0,0,1,1
4532,Male,31,25 - 45,3,Low,Caucasian,1,0,0,0,1,0
4533,Male,43,25 - 45,5,Medium,African-American,1,0,0,0,1,1
4534,Male,39,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
4535,Male,31,25 - 45,2,Low,African-American,0,0,0,0,0,0
4536,Male,22,Less than 25,7,Medium,Caucasian,3,0,0,0,1,1
4537,Female,33,25 - 45,3,Low,African-American,0,0,0,0,0,0
4539,Male,23,Less than 25,6,Medium,African-American,1,0,0,0,1,1
4540,Female,29,25 - 45,4,Low,Caucasian,0,0,0,0,0,0
4541,Male,62,Greater than 45,1,Low,Caucasian,2,0,0,0,0,0
4542,Female,56,Greater than 45,2,Low,African-American,1,0,0,0,1,0
4543,Female,24,Less than 25,3,Low,African-American,4,0,0,0,1,0
4544,Female,44,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
4545,Male,22,Less than 25,7,Medium,African-American,2,0,1,0,1,1
4546,Female,28,25 - 45,5,Medium,African-American,4,0,0,0,1,1
4547,Male,30,25 - 45,5,Medium,African-American,0,0,0,0,0,1
4548,Male,32,25 - 45,1,Low,Caucasian,1,0,0,0,1,0
4549,Male,51,Greater than 45,6,Medium,Caucasian,3,0,0,0,0,1
4550,Male,21,Less than 25,5,Medium,African-American,0,0,0,0,0,1
4551,Male,21,Less than 25,9,High,African-American,2,0,0,0,1,1
4552,Male,27,25 - 45,9,High,African-American,3,0,0,0,1,1
4553,Male,28,25 - 45,4,Low,Hispanic,0,0,0,0,0,0
4554,Female,31,25 - 45,1,Low,African-American,0,0,0,0,0,0
4555,Male,33,25 - 45,8,High,African-American,0,0,0,0,1,1
4556,Female,49,Greater than 45,2,Low,Caucasian,2,0,0,0,0,0
4557,Female,41,25 - 45,3,Low,Other,2,0,0,0,0,0
4558,Male,20,Less than 25,4,Low,Caucasian,0,0,0,5,0,0
4559,Male,31,25 - 45,6,Medium,African-American,10,0,0,1,1,1
4560,Male,25,25 - 45,5,Medium,African-American,5,0,0,0,1,1
4561,Male,23,Less than 25,9,High,African-American,4,0,1,0,1,1
4562,Male,26,25 - 45,4,Low,Caucasian,0,0,0,0,0,0
4563,Female,45,Greater than 45,3,Low,Asian,6,0,0,0,1,0
4564,Male,28,25 - 45,2,Low,Caucasian,1,0,0,0,0,0
4565,Female,28,25 - 45,9,High,African-American,13,0,0,0,1,1
4566,Male,39,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
4567,Male,59,Greater than 45,2,Low,Hispanic,1,0,0,0,1,0
4568,Male,52,Greater than 45,1,Low,African-American,4,0,0,0,0,0
4569,Male,36,25 - 45,5,Medium,Hispanic,1,0,0,0,0,1
4573,Male,30,25 - 45,3,Low,African-American,2,0,0,0,1,0
4574,Female,21,Less than 25,5,Medium,African-American,0,0,0,0,1,1
4575,Male,25,25 - 45,4,Low,African-American,2,0,0,0,1,0
4577,Male,22,Less than 25,4,Low,African-American,0,0,0,0,0,0
4578,Male,61,Greater than 45,2,Low,African-American,20,0,0,0,1,0
4579,Male,24,Less than 25,6,Medium,Caucasian,2,0,0,2,0,1
4581,Female,26,25 - 45,9,High,Caucasian,2,0,0,0,1,1
4582,Female,34,25 - 45,3,Low,African-American,6,0,0,0,0,0
4583,Male,45,Greater than 45,8,High,African-American,12,1,0,0,1,1
4585,Male,54,Greater than 45,3,Low,African-American,4,0,0,0,1,0
4586,Male,51,Greater than 45,5,Medium,African-American,8,0,0,0,0,1
4587,Male,28,25 - 45,2,Low,African-American,0,0,0,0,0,0
4588,Male,23,Less than 25,2,Low,Caucasian,0,0,0,0,0,0
4589,Male,30,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
